Year,Actor,Movie,Gender,Birthyear,Age
1983,Shirley MacLaine,Terms of Endearment,Woman,1934,49
1983,Robert Duvall,Tender Mercies,Man,1931,52
1984,Sally Field,Places in the Heart,Woman,1946,38
1984,F. Murray Abraham,Amadeus,Man,1939,45
1985,Geraldine Page,Trip to Bountiful,Woman,1924,61
1985,William Hurt,Kiss of the Spider Woman,Man,1950,35
1986,Marlee Matlin,Children of a Lesser God,Woman,1965,21
1986,Paul Newman,The Color of Money,Man,1925,61
1987,Cher,Moonstruck,Woman,1946,41
1987,Michael Douglas,Wall Street,Man,1944,43
1988,Jodie Foster,The Accused,Woman,1962,26
1988,Dustin Hoffman,Rain Man,Man,1937,51
1989,Jessica Tandy,Driving Miss Daisy,Woman,1909,80
1989,Daniel Day-Lewis,My Left Foot,Man,1957,32
1990,Kathy Bates,Misery,Woman,1948,42
1990,Jeremy Irons,Reversal of Fortune,Man,1948,42
1991,Jodie Foster,The Silence of the Lambs,Woman,1962,29
1991,Anthony Hopkins,Silence of the Lambs,Man,1937,54
1992,Emma Thompson,Howards End,Woman,1959,33
1992,Al Pacino,Scent of a Woman,Man,1940,52
1993,Holly Hunter,The Piano,Woman,1958,35
1993,Tom Hanks,Philadelphia,Man,1956,37
1994,Jessica Lange,Blue Sky,Woman,1949,45
1994,Tom Hanks,Forest Gump,Man,1956,38
1995,Susan Sarandon,Dead Man Walking,Woman,1946,49
1995,Nicolas Cage,Leaving Las Vegas,Man,1964,31
1996,Frances McDormand,Fargo,Woman,1957,39
1996,Geoffrey Rush,Shine,Man,1951,45
1997,Helen Hunt,As Good as It Gets,Woman,1963,34
1997,Jack Nicholson,As Good as it Gets,Man,1937,60
1998,Gwyneth Paltrow,Shakespeare in Love,Woman,1972,26
1998,Roberto Benigni,Life is Beautiful,Man,1952,46
1999,Hilary Swank,Boys Don't Cry,Woman,1974,25
1999,Kevin Spacey,American Beauty,Man,1959,40
2000,Julia Roberts,Erin Brokovich,Woman,1967,33
2000,Russell Crowe,Gladiator,Man,1964,36
2001,Halle Berry,Monster's Ball,Woman,1966,35
2001,Denzel Washington,Training Day,Man,1954,47
2002,Nicole Kidman,The Hours,Woman,1967,35
2002,Adrien Brody,The Pianist,Man,1973,29
2003,Charlize Theron,Monster,Woman,1975,28
2003,Sean Penn,Msytic River,Man,1960,43
2004,Hilary Swank,Million Dollar Baby,Woman,1974,30
2004,Jamie Foxx,Ray,Man,1967,37
2005,Reese Witherspoon,Walk the Line,Woman,1976,29
2005,Philip Seymour Hoffman,Capote,Man,1967,38
2006,Helen Mirren,The Queen,Woman,1945,61
2006,Forest Whitaker,Last King of Scotland,Man,1961,45
2007,Marion Cotillard,La Vie en Rose,Woman,1975,32
2007,Daniel Day Lewis,There Will Be Blood,Man,1957,50
2008,Kate Winslett,The Reader,Woman,1975,33
2008,Sean Penn,Milk,Man,1960,48
2009,Sandra Bullock,The Blind Side,Woman,1964,45
2009,Jeff Bridges,Crazy Heart,Man,1949,60
